iter	Passed	Remaining
1421	81769	4485
1422	81823	4427
1423	81878	4369
1424	81931	4312
1425	81994	4254
1426	82051	4197
1427	82106	4139
1428	82162	4082
1429	82235	4025
1430	82294	3968
1431	82350	3910
1432	82416	3853
1433	82474	3795
1434	82535	3738
1435	82590	3680
1436	82643	3623
1437	82697	3565
1438	82752	3507
1439	82807	3450
1440	82865	3392
1441	82926	3335
1442	82981	3277
1443	83041	3220
1444	83094	3162
1445	83175	3106
1446	83234	3048
1447	83289	2991
1448	83349	2933
1449	83402	2875
1450	83457	2818
1451	83526	2761
1452	83582	2703
1453	83635	2645
1454	83693	2588
1455	83750	2530
1456	83806	2473
1457	83863	2415
1458	83921	2358
1459	83975	2300
1460	84086	2244
1461	84146	2187
1462	84206	2129
1463	84263	2072
1464	84320	2014
1465	84383	1957
1466	84438	1899
1467	84496	1841
1468	84555	1784
1469	84609	1726
1470	84666	1669
1471	84721	1611
1472	84779	1553
1473	84836	1496
1474	84893	1438
1475	84948	1381
1476	85005	1323
1477	85060	1266
1478	85116	1208
1479	85168	1150
1480	85222	1093
1481	85279	1035
1482	85336	978
1483	85393	920
1484	85444	863
1485	85502	805
1486	85557	747
1487	85611	690
1488	85668	632
1489	85719	575
1490	85774	517
1491	85827	460
1492	85885	402
1493	85940	345
1494	85997	287
1495	86051	230
1496	86104	172
1497	86158	115
1498	86218	57
1499	86273	0
